Attendance	Motivation
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	0
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	1
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
60	2
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	0
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	1
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
61	2
