Attendance	Motivation
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	0
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	1
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
68	2
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
74	0
